id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
272648,USDC-USDT,Optimism,Uniswap,1.0516357,0.0,1.0516357,1187848,https://api.coindix.com/vault/272648/redirect,False,False,C,no
72157,USDC-FRAX,Fantom,Autofarm,0.58001939,0.0,0.58001939,51927,https://api.coindix.com/vault/72157/redirect,False,False,C,no
273885,USDT-DAI,Optimism,Uniswap,0.4861232,0.0,0.4861232,280289,https://api.coindix.com/vault/273885/redirect,False,False,C,no
272821,DOLA-USDC,Ethereum,Uniswap,0.4488475,0.0,0.4488475,294373,https://api.coindix.com/vault/272821/redirect,False,False,C,no
273059,FEI-USDC,Ethereum,Uniswap,0.3205559,0.0,0.3205559,146997,https://api.coindix.com/vault/273059/redirect,False,False,C,no
272205,DAI-FEI,Ethereum,Uniswap,0.1823029,0.0,0.1823029,3276649,https://api.coindix.com/vault/272205/redirect,False,False,C,no
45841,MIM-USDC,Fantom,Beefy,0.13264775,0.0,0.13264775,307144,https://api.coindix.com/vault/45841/redirect,False,False,C,no
272254,FRAX-USDC,Ethereum,Uniswap,0.1257794,0.0,0.1257794,960195,https://api.coindix.com/vault/272254/redirect,False,False,C,no
272214,BUSD-USDC,Ethereum,Uniswap,0.1117159,0.0,0.1117159,616221,https://api.coindix.com/vault/272214/redirect,False,False,C,no
67093,USDT,Ethereum,cBridge,0.02458498,0.0848285,0.10941347,1563820,https://api.coindix.com/vault/67093/redirect,False,False,C,yes
79263,TOR-DAI-USDC,Fantom,Hector,0.0,0.0967,0.0967,14850062,https://api.coindix.com/vault/79263/redirect,False,False,B,yes
124579,TOR-DAI-USDC,Fantom,Beefy,0.09667212,0.0,0.09667212,11541028,https://api.coindix.com/vault/124579/redirect,False,False,B,no
75938,USDC,Ethereum,Maple,0.0712,0.025,0.0962,506750000,https://api.coindix.com/vault/75938/redirect,False,False,A,yes
40921,USDT-USDC,Cronos,VVS,0.00014,0.09446489,0.09460489,246960000,https://api.coindix.com/vault/40921/redirect,False,False,A,yes
122840,USDC,Ethereum,StakeDAO,0.06473764,0.02908926,0.09382689,2496686,https://api.coindix.com/vault/122840/redirect,False,False,C,yes
75937,USDC,Ethereum,Maple,0.0657,0.025,0.0907,559050400,https://api.coindix.com/vault/75937/redirect,False,False,A,yes
67090,USDC,BNB Chain,cBridge,0.03416483,0.05615989,0.09032472,2834547,https://api.coindix.com/vault/67090/redirect,False,False,C,yes
120862,FRAX-USDC-BUSD-USDT,Moonriver,Beefy,0.09026136,0.0,0.09026136,419965,https://api.coindix.com/vault/120862/redirect,False,False,C,no
16770,MIM-USDC-fUSDT,Fantom,Beefy,0.08828722,0.0,0.08828722,6319687,https://api.coindix.com/vault/16770/redirect,False,False,C,no
203832,DAI,Waves,Vires,0.08806903,0.00014006,0.0882091,42464,https://api.coindix.com/vault/203832/redirect,False,False,C,yes
272925,GUSD-USDC,Ethereum,Uniswap,0.0863296,0.0,0.0863296,360950,https://api.coindix.com/vault/272925/redirect,False,False,C,no
67108,USDT,Arbitrum,cBridge,0.00421803,0.08189459,0.08611262,1619845,https://api.coindix.com/vault/67108/redirect,False,False,C,yes
67109,USDC,Arbitrum,cBridge,0.00869149,0.0759644,0.08465589,2095558,https://api.coindix.com/vault/67109/redirect,False,False,C,yes
203833,BUSD,Waves,Vires,0.08320501,0.00044979,0.0836548,92246,https://api.coindix.com/vault/203833/redirect,False,False,C,yes
15942,MIM-USDC-USDT,Arbitrum,Beefy,0.082744,0.0,0.082744,9348834,https://api.coindix.com/vault/15942/redirect,False,False,C,no
15163,DAI-USDC-USDT-HUSD,Heco,Autofarm,0.0817449,0.0,0.0817449,829216,https://api.coindix.com/vault/15163/redirect,False,False,C,no
36113,DAI-USDC-USDT-HUSD,Heco,Belt,0.0,0.0811,0.0811,1200000,https://api.coindix.com/vault/36113/redirect,False,False,C,yes
67101,USDT,Polygon,cBridge,0.00434256,0.07550026,0.07984283,1757034,https://api.coindix.com/vault/67101/redirect,False,False,C,yes
69473,USDT-USDC,Cronos,Autofarm,0.07349042,0.0,0.07349042,124606,https://api.coindix.com/vault/69473/redirect,False,False,C,no
67091,USDC,Ethereum,cBridge,0.02811743,0.0452707,0.07338812,3516355,https://api.coindix.com/vault/67091/redirect,False,False,C,yes
67120,USDT,Optimism,cBridge,0.00057735,0.06910939,0.06968674,2021831,https://api.coindix.com/vault/67120/redirect,False,False,C,yes
38539,DOLA,Ethereum,Yearn,0.069,0.0,0.069,204679,https://api.coindix.com/vault/38539/redirect,False,False,C,no
273287,FRAX-USDC,Ethereum,Uniswap,0.0683431,0.0,0.0683431,209023,https://api.coindix.com/vault/273287/redirect,False,False,C,no
272698,DAI-USDT,Polygon,Uniswap,0.0673888,0.0,0.0673888,48290,https://api.coindix.com/vault/272698/redirect,False,False,C,no
36111,HUSD,Heco,Belt,0.0,0.0669,0.0669,700000,https://api.coindix.com/vault/36111/redirect,False,False,C,yes
55777,FUSDT-USDC,Fantom,ProtoFi,0.0,0.0669,0.0669,199954,https://api.coindix.com/vault/55777/redirect,False,False,C,yes
67095,USDT,BNB Chain,cBridge,0.01647262,0.04870625,0.06517887,2723604,https://api.coindix.com/vault/67095/redirect,False,False,C,yes
272288,DAI-USDC,Arbitrum,Uniswap,0.064046,0.0,0.064046,2824701,https://api.coindix.com/vault/272288/redirect,False,False,C,no
113657,USDC,Avalanche,InsurAce,0.0,0.0637,0.0637,1503442,https://api.coindix.com/vault/113657/redirect,False,False,C,yes
115426,USDT,Avalanche,Stargate,0.0,0.0631,0.0631,41095979,https://api.coindix.com/vault/115426/redirect,False,False,B,yes
67138,BUSD,BNB Chain,cBridge,0.05991288,0.0,0.05991288,86959,https://api.coindix.com/vault/67138/redirect,False,False,C,no
113648,USDC,BNB Chain,InsurAce,0.0,0.0598,0.0598,194834,https://api.coindix.com/vault/113648/redirect,False,False,C,yes
35038,VAI-BUSD,BNB Chain,Alpaca,0.0016951,0.0579423,0.05973534,53346,https://api.coindix.com/vault/35038/redirect,False,False,C,yes
113647,BUSD,BNB Chain,InsurAce,0.0,0.0589,0.0589,742967,https://api.coindix.com/vault/113647/redirect,False,False,C,yes
113652,USDT,Polygon,InsurAce,0.0,0.0587,0.0587,650313,https://api.coindix.com/vault/113652/redirect,False,False,C,yes
272267,USDC-DAI,Optimism,Uniswap,0.0583262,0.0,0.0583262,2998252,https://api.coindix.com/vault/272267/redirect,False,False,C,no
16972,MAI-USDT,Polygon,Beefy,0.05812941,0.0,0.05812941,236202,https://api.coindix.com/vault/16972/redirect,False,False,C,no
69475,USDT-BUSD,Cronos,Autofarm,0.05803178,0.0,0.05803178,26420,https://api.coindix.com/vault/69475/redirect,False,False,C,no
145783,BUSD-USDT-DAI-MIM,BNB Chain,ACryptoS,0.0069,0.051,0.0579,173000,https://api.coindix.com/vault/145783/redirect,False,False,C,yes
113643,USDT,BNB Chain,InsurAce,0.0,0.057,0.057,426126,https://api.coindix.com/vault/113643/redirect,False,False,C,yes
113659,USDT,Avalanche,InsurAce,0.0,0.0562,0.0562,832130,https://api.coindix.com/vault/113659/redirect,False,False,C,yes
113637,DAI,Ethereum,InsurAce,0.0,0.0561,0.0561,958583,https://api.coindix.com/vault/113637/redirect,False,False,C,yes
113649,DAI,Polygon,InsurAce,0.0,0.0555,0.0555,1093500,https://api.coindix.com/vault/113649/redirect,False,False,C,yes
35016,TUSD-BUSD,BNB Chain,Alpaca,0.01857143,0.11850665,0.05544592,1073000,https://api.coindix.com/vault/35016/redirect,False,False,C,yes
15055,DAI-USDC,Fantom,Autofarm,0.05516476,0.0,0.05516476,65599,https://api.coindix.com/vault/15055/redirect,False,False,C,no
43331,EURS-USDC,Ethereum,Yearn,0.055,0.0,0.055,91361,https://api.coindix.com/vault/43331/redirect,False,False,C,no
67113,USDT,Aurora,cBridge,0.0,0.05434665,0.05434665,976373,https://api.coindix.com/vault/67113/redirect,False,False,C,yes
17023,MAI-USDC,Polygon,Beefy,0.0529143,0.0,0.0529143,8653327,https://api.coindix.com/vault/17023/redirect,False,False,C,no
113654,USDC,Polygon,InsurAce,0.0,0.0526,0.0526,1683596,https://api.coindix.com/vault/113654/redirect,False,False,C,yes
272609,MIM-USDC,Ethereum,Uniswap,0.0525452,0.0,0.0525452,165024,https://api.coindix.com/vault/272609/redirect,False,False,C,no
17559,USDC,BNB Chain,Cream,0.052433,0.0,0.052433,226843,https://api.coindix.com/vault/17559/redirect,False,False,C,no
274364,USDC-FRAX,Polygon,Uniswap,0.0520538,0.0,0.0520538,42075,https://api.coindix.com/vault/274364/redirect,False,False,C,no
185455,USDC,Ethereum,Sturdy,0.05189164,0.0,0.05189164,5635133,https://api.coindix.com/vault/185455/redirect,False,False,C,no
185456,USDT,Ethereum,Sturdy,0.05189164,0.0,0.05189164,237648,https://api.coindix.com/vault/185456/redirect,False,False,C,no
185454,DAI,Ethereum,Sturdy,0.05189164,0.0,0.05189164,503332,https://api.coindix.com/vault/185454/redirect,False,False,C,no
272330,USDT-USDC,Arbitrum,Uniswap,0.0510512,0.0,0.0510512,2539499,https://api.coindix.com/vault/272330/redirect,False,False,C,no
63582,HUSD-USDT,Heco,MDEX,0.03796516,0.01298738,0.05095254,1193411,https://api.coindix.com/vault/63582/redirect,False,False,C,yes
92940,USDC,Fantom,Stargate,0.0,0.0508,0.0508,20906550,https://api.coindix.com/vault/92940/redirect,False,False,B,yes
63465,BUSD-USDT,BNB Chain,MDEX,0.00990333,0.0408002,0.05070353,2496894,https://api.coindix.com/vault/63465/redirect,False,False,C,yes
115427,USDT,Polygon,Stargate,0.0,0.0503,0.0503,19267597,https://api.coindix.com/vault/115427/redirect,False,False,B,yes
17541,BUSD,BNB Chain,Cream,0.05015,0.0,0.05015,463303,https://api.coindix.com/vault/17541/redirect,False,False,C,no
